'KoszulProbability.singular_fraction_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.certified_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.ballSize_eq_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Presentation.squareZeroEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.SquareZero.linear_resolution' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.square_zero_algebra_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.square_zero_algebra_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Obstruction.witness_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Obstruction.no_nonnegative_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Transport.linear_resolution' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.koszul_certificate_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.box_failure_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.box_singular_fraction_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.box_square_zero_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.box_koszul_certificate_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.geometric_box_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.geometric_box_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.fixed_field_box_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.galois_box_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.galois_boxBall_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.regularCount_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.singular_fraction_le_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.square_zero_algebra_error_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.square_zero_algebra_error_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Presentation.det_ne_zero_of_model' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.model_top_eq_certified' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.square_zero_algebra_error_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.square_zero_algebra_error_two_sided' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.square_zero_failure_asymptotic' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.boxGrowth_polynomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.polynomial_box_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.polynomial_box_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.fixed_field_polynomial_box_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Obstruction.cubicDet_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Obstruction.totalDegree_cubicDet_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Obstruction.obstruction_fraction_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Obstruction.obstruction_fraction_le_field' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Obstruction.cubic_products_vanish' depends on axioms: [propext, Classical.choice, Quot.sound]
'KoszulProbability.Obstruction.rows_linearIndependent' depends on axioms: [propext, Classical.choice, Quot.sound]
